                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                      40                                      448                  1.0000000000000000E+000                  2.0000000000000000E-002                  7.3438578398454232E-002                  1.2248096399742369E-002                  1.2908248976545788E+003                  1.9223102988385010E-004                  2.7722362627386898E-001                  3.0426547632528540E+000                  7.4000000000000021E-001                  2.5540830215261673E-005                  2.3997445916978472E-001                  3.4468833607861548E-003                  1.0103427409336070E-003                  9.3805276451495445E-003                  2.0850244238750366E-003                  9.5488983680546119E-004                  0.0000000000000000E+000                  7.0661847923604148E-004                  2.4388679196127218E-008                  2.2914917215411453E-004                  3.2913938898685519E-006                  9.6476601500767404E-007                  8.9573705122259610E-006                  1.9909686318494350E-006                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7274373381044090E+004                  4.0293381660654268E+005                  4.9674073815368156E+010                  4.9380480989704473E-023                  4.9380480989704467E-023                  0.0000000000000000E+000                  1.9763090864656724E-024                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.3175452816670593E+006                               "r22.05.1"                               "gfortran"                                 "10.2.0"                   "x86_64-macos-21.11.1"                                 "CRMATH"                               "20220526"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                 tri_alfa 
                                       1                  9.5488983680546119E-004                 -5.5716975990755335E-001                  3.4434953099365884E+000                 -4.8384145557225615E+000                  6.1715059432025399E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3946875483251511E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  9.5488983680450633E-004                 -5.5716976053806144E-001                  3.4434953265890926E+000                 -4.8384144539171690E+000                  6.1715060646825499E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3946881116950022E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  9.5488983679973194E-004                 -5.5716976369060689E-001                  3.4434953543432529E+000                 -4.8384142842415736E+000                  6.1715062671491596E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3946890506447155E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  9.5488983679495743E-004                 -5.5716976684315234E-001                  3.4434954029130083E+000                 -4.8384139873094671E+000                  6.1715066214655092E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3946906938065797E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  9.5488983678302124E-004                 -5.5716977472450657E-001                  3.4434954722982902E+000                 -4.8384135631211116E+000                  6.1715071276312603E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3946930411805987E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  9.5488983677108515E-004                 -5.5716978260585470E-001                  3.4434955763760828E+000                 -4.8384129268394762E+000                  6.1715078868788389E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3946965622409786E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  9.5488983674721297E-004                 -5.5716979836853076E-001                  3.4434957845311520E+000                 -4.8384116542793816E+000                  6.1715094053702266E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3947036043597160E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  9.5488983669946850E-004                 -5.5716982989379360E-001                  3.4434962036310428E+000                 -4.8384090921041230E+000                  6.1715124627041860E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3947177830398124E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  9.5488983660301885E-004                 -5.5716989357820323E-001                  3.4434967642866789E+000                 -4.8384056645168156E+000                  6.1715165526957394E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.3947367509073312E-024                  0.0000000000000000E+000                  0.0000000000000000E+000 
